Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
1576eb6d-a11e-4b95-bfcf-ab084a9a258b,"2020-06-05, 07:42:01 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:240743444093:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-ac""}]",,us-east-1,,76.184.98.183
19a39dd9-7581-4b76-ac05-d7539a81f291,"2020-06-05, 07:42:01 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:240743444093:trail/Udacity_Trail""}]",,us-east-1,,76.184.98.183
a9d0fa5a-cd74-47ba-95e3-9bce651fa148,"2020-06-05, 07:42:01 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,76.184.98.183
7e38aa12-3131-4fa5-a101-064c3f510356,"2020-06-05, 07:42:00 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-ac""}]",,us-east-1,,76.184.98.183
24a9cbb7-8bcd-4ec1-ac0d-f9f345bbadb9,"2020-06-05, 07:40:47 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-ac""}]",,us-east-1,InsufficientS3BucketPolicyException,76.184.98.183
527ec86b-bdb6-4164-b77b-b1b4540bc939,"2020-06-05, 07:40:47 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-ac""}]",,us-east-1,,76.184.98.183
98ad55f5-a6a0-41c1-92e5-66109e0153d0,"2020-06-05, 07:40:47 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-ac""}]",,us-east-1,,76.184.98.183
e3edc78d-c1d2-49ac-8760-e0cdac018946,"2020-06-05, 07:40:00 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail""}]",,us-east-1,BucketAlreadyExists,76.184.98.183
cab6abda-e218-4f18-93bf-cecf31d29851,"2020-06-05, 07:37:57 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,76.184.98.183
d14560b6-7651-43a3-80d4-1502085f1878,"2020-06-05, 07:37:22 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
933c2a0a-261c-4555-89de-e672800b372a,"2020-06-05, 07:36:12 PM",Accountant,ConsoleLogin,,,,us-east-1,,76.184.98.183
eb51f970-f9ac-400d-8b61-cd234e532fa2,"2020-06-05, 07:35:47 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
c578097d-207e-4db4-9249-71c8d476e51c,"2020-06-05, 07:35:22 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,76.184.98.183
1b9922c2-3964-40ae-b15c-e3a1e050d236,"2020-06-05, 07:32:51 PM",antonio,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,76.184.98.183
c7c7b892-22a0-40f2-ab69-85ea094df302,"2020-06-05, 07:32:50 PM",antonio,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATQDLNNZ6YPVV45FSE""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::240743444093:user/Accountant""}]",,us-east-1,,76.184.98.183
f72216a3-c38f-407d-b32f-c490472151c5,"2020-06-05, 07:32:50 PM",antonio,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,76.184.98.183
d19c9cd3-f81a-4408-8bae-60e265d8a72e,"2020-06-05, 07:31:08 PM",antonio,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""tones""}]",,us-east-1,,76.184.98.183
eff1c01d-ff59-4b1e-ae82-13d71a30e5bb,"2020-06-05, 07:31:08 PM",antonio,DeleteServiceSpecificCredential,,,,us-east-1,,76.184.98.183
02dd8465-213a-4fae-a2bb-1a3e21d3485d,"2020-06-05, 07:31:07 PM",antonio,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAJJXWHJ6P2KRGOCTA""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""tones""}]",,us-east-1,,76.184.98.183
30c07772-e7b4-46dc-bda9-5cc494f6f68d,"2020-06-05, 07:31:07 PM",antonio,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIATQDLNNZ6VTD2ZBVN""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""tones""}]",,us-east-1,,76.184.98.183
354bf581-ff0e-468b-bec0-47b8dd48cb2c,"2020-06-05, 07:31:07 PM",antonio,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""tones""}]",,us-east-1,,76.184.98.183
40857091-2a89-454e-9b24-ecf231baa8b6,"2020-06-05, 07:31:07 PM",antonio,DeleteSSHPublicKey,IAM SshPublicKey and 1 more,"[{""resourceType"":""AWS::IAM::SshPublicKey"",""resourceName"":""APKAITFZTOEUZLFI3J7Q""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""tones""}]",,us-east-1,,76.184.98.183
c0c4763f-d8b5-4d1f-b197-18a1972be2bd,"2020-06-05, 07:31:07 PM",antonio,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""tones""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admin""}]",,us-east-1,,76.184.98.183
b3be3454-49e2-4105-959c-cc86c631cd41,"2020-06-05, 07:30:47 PM",antonio,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,76.184.98.183
eaab5178-32be-425c-8a56-df5522d4617f,"2020-06-05, 07:30:47 PM",antonio,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,76.184.98.183
ba90ed18-57b3-40ee-a160-26778999e7a9,"2020-06-05, 07:30:46 PM",antonio,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::240743444093:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATQDLNNZ6XMZ64DCSS""}]",,us-east-1,,76.184.98.183
